NODES: 23
ARCS: 211

NODE
Idn                                      name                           x               y               Type           
50       H_3_origin_8                             H_19_origin_5                            18.06                NOT USED  
51       H_3_origin_8                             H_4_dest_9                               5.03                 NOT USED  
53       H_3_origin_8                             H_11_dest_2                              11.19                NOT USED  
54       H_3_origin_8                             HUB_1                                    11.62                NOT USED  
55       H_4_origin_4                             H_4_dest_5                               0.00                 NOT USED  
56       H_4_origin_4                             H_9_origin_6                             15.58                NOT USED  
58       H_4_origin_4                             H_4_dest_1                               0.00                 NOT USED  
59       H_4_origin_4                             H_7_origin_10                            12.53                NOT USED  
60       H_4_origin_4                             H_3_origin_8                             5.03                 NOT USED  
61       H_4_origin_4                             H_9_origin_2                             15.58                NOT USED  
62       H_4_origin_4                             H_12_origin_7                            18.78                NOT USED  
63       H_4_origin_4                             H_9_origin_3                             15.58                NOT USED  
64       H_4_origin_4                             F_14                                     15.40                NOT USED  
65       H_4_origin_4                             H_21_origin_1                            25.06                NOT USED  
66       H_4_origin_4                             H_10_dest_7                              6.19                 NOT USED  
67       H_4_origin_4                             H_2_dest_6                               17.54                NOT USED  
68       H_4_origin_4                             H_11_dest_10                             6.79                 NOT USED  
69       H_4_origin_4                             H_20_dest_3                              4.43                 NOT USED  
70       H_4_origin_4                             H_19_origin_5                            23.07                NOT USED  
71       H_4_origin_4                             H_4_dest_9                               0.00                 NOT USED  
72       H_4_origin_4                             H_4_dest_8                               0.00                 NOT USED  
73       H_4_origin_4                             H_11_dest_2                              6.79                 NOT USED  
74       H_4_origin_4                             HUB_1                                    7.21                 NOT USED  
75       H_9_origin_2                             H_4_dest_5                               15.58                NOT USED  
76       H_9_origin_2                             H_9_origin_6                             0.00                 NOT USED  
77       H_9_origin_2                             H_4_dest_1                               15.58                NOT USED  
78       H_9_origin_2                             H_7_origin_10                            6.16                 NOT USED  
79       H_9_origin_2                             H_3_origin_8                             18.43                NOT USED  
80       H_9_origin_2                             H_4_origin_4                             15.58                NOT USED  
81       H_9_origin_2                             H_12_origin_7                            29.16                NOT USED  
82       H_9_origin_2                             H_9_origin_3                             0.00                 NOT USED  
83       H_9_origin_2                             H_10_dest_7                              12.50                NOT USED  
84       H_9_origin_2                             H_2_dest_6                               27.57                NOT USED  
85       H_9_origin_2                             H_11_dest_10                             9.84                 NOT USED  
86       H_9_origin_2                             H_20_dest_3                              17.84                NOT USED  
87       H_9_origin_2                             H_4_dest_9                               15.58                NOT USED  
88       H_9_origin_2                             H_4_dest_8                               15.58                NOT USED  
90       H_9_origin_2                             HUB_1                                    9.60                 NOT USED  
91       H_12_origin_7                            H_4_dest_5                               18.78                NOT USED  
92       H_12_origin_7                            H_9_origin_6                             29.16                NOT USED  
93       H_12_origin_7                            H_21_dest_4                              10.75                NOT USED  
94       H_12_origin_7                            H_4_dest_1                               18.78                NOT USED  
95       H_12_origin_7                            H_7_origin_10                            29.31                NOT USED  
96       H_12_origin_7                            H_3_origin_8                             22.17                NOT USED  
97       H_12_origin_7                            H_4_origin_4                             18.78                NOT USED  
98       H_12_origin_7                            H_9_origin_2                             29.16                NOT USED  
99       H_12_origin_7                            H_9_origin_3                             29.16                NOT USED  
100      H_12_origin_7                            F_14                                     13.91                NOT USED  
101      H_12_origin_7                            H_21_origin_1                            10.75                NOT USED  
103      H_12_origin_7                            H_11_dest_10                             20.08                NOT USED  
104      H_12_origin_7                            HUB_2                                    21.95                NOT USED  
105      H_12_origin_7                            H_20_dest_3                              14.35                NOT USED  
106      H_12_origin_7                            H_4_dest_9                               18.78                NOT USED  
107      H_12_origin_7                            H_4_dest_8                               18.78                NOT USED  
108      H_12_origin_7                            H_11_dest_2                              20.08                NOT USED  
109      H_12_origin_7                            HUB_1                                    20.14                NOT USED  
110      H_9_origin_3                             H_4_dest_5                               15.58                NOT USED  
111      H_9_origin_3                             H_9_origin_6                             0.00                 NOT USED  
112      H_9_origin_3                             H_4_dest_1                               15.58                NOT USED  
113      H_9_origin_3                             H_7_origin_10                            6.16                 NOT USED  
114      H_9_origin_3                             H_3_origin_8                             18.43                NOT USED  
115      H_9_origin_3                             H_4_origin_4                             15.58                NOT USED  
116      H_9_origin_3                             H_9_origin_2                             0.00                 NOT USED  
117      H_9_origin_3                             H_12_origin_7                            29.16                NOT USED  
118      H_9_origin_3                             H_10_dest_7                              12.50                NOT USED  
119      H_9_origin_3                             H_2_dest_6                               27.57                NOT USED  
120      H_9_origin_3                             H_11_dest_10                             9.84                 NOT USED  
122      H_9_origin_3                             H_4_dest_9                               15.58                NOT USED  
123      H_9_origin_3                             H_4_dest_8                               15.58                NOT USED  
124      H_9_origin_3                             H_11_dest_2                              9.84                 NOT USED  
125      H_9_origin_3                             HUB_1                                    9.60                 NOT USED  
126      F_14                                     H_4_dest_5                               15.40                NOT USED  
127      F_14                                     H_21_dest_4                              12.55                NOT USED  
128      F_14                                     H_4_dest_1                               15.40                NOT USED  
129      F_14                                     H_7_origin_10                            27.91                NOT USED  
130      F_14                                     H_3_origin_8                             15.36                NOT USED  
131      F_14                                     H_4_origin_4                             15.40                NOT USED  
132      F_14                                     H_12_origin_7                            13.91                NOT USED  
133      F_14                                     H_21_origin_1                            12.55                NOT USED  
134      F_14                                     H_10_dest_7                              20.89                NOT USED  
135      F_14                                     H_2_dest_6                               22.28                NOT USED  
136      F_14                                     H_11_dest_10                             20.93                NOT USED  
