NODES: 140
ARCS: 2524

NODE
Idn                                      x               y               Type           
HUB_1                                    45.113955       10.177026       HUB            
HUB_3                                    44.798639       9.388738        HUB            
H_Bergamo_1_origin_49                    45.687747       9.675601        H_ORIGIN       
H_Bergamo_2_origin_30                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_42                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_2_origin_54                    45.695518       9.659230        H_ORIGIN       
H_Bergamo_4_origin_11                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_46                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_51                    45.635359       9.872452        H_ORIGIN       
H_Bergamo_4_origin_58                    45.635359       9.872452        H_ORIGIN       
H_Cremona_1_origin_36                    45.145060       10.012796       H_ORIGIN       
H_Cremona_1_origin_55                    45.145060       10.012796       H_ORIGIN       
H_Cremona_2_origin_24                    45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_3                     45.289308       9.855996        H_ORIGIN       
H_Cremona_2_origin_50                    45.289308       9.855996        H_ORIGIN       
H_Milano_1_origin_13                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_33                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_38                     45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_6                      45.499807       9.167334        H_ORIGIN       
H_Milano_1_origin_9                      45.499807       9.167334        H_ORIGIN       
H_Milano_2_origin_28                     45.466862       9.172003        H_ORIGIN       
H_Milano_2_origin_57                     45.466862       9.172003        H_ORIGIN       
H_Milano_3_origin_27                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_47                     45.471898       9.145035        H_ORIGIN       
H_Milano_3_origin_60                     45.471898       9.145035        H_ORIGIN       
H_Parma_1_origin_25                      44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_37                      44.694109       10.104399       H_ORIGIN       
H_Parma_1_origin_4                       44.694109       10.104399       H_ORIGIN       
H_Parma_2_origin_1                       44.856799       10.071196       H_ORIGIN       
