NODES: 40
ARCS: 267

NODE
Idn                                      x               y               Type           
30       H_Milano_3_origin_9                      HUB_2                                    33.59                NOT USED  
32       H_Milano_3_origin_9                      H_Milano_2_origin_4                      3.73                 NOT USED  
33       H_Milano_3_origin_9                      F_23                                     39.77                NOT USED  
34       H_Milano_3_origin_9                      H_Milano_3_dest_1                        0.00                 NOT USED  
35       H_Bergamo_3_origin_3                     H_Bergamo_3_dest_9                       0.00                 NOT USED  
36       H_Bergamo_3_origin_3                     H_Bergamo_3_dest_4                       0.00                 NOT USED  
37       H_Bergamo_3_origin_3                     H_Bergamo_2_origin_8                     18.48                NOT USED  
39       H_Bergamo_3_origin_3                     H_Bergamo_3_origin_2                     0.00                 NOT USED  
40       H_Bergamo_3_origin_3                     F_38                                     24.44                NOT USED  
41       F_31                                     H_Milano_3_origin_9                      48.65                NOT USED  
43       F_31                                     F_24                                     41.22                NOT USED  
44       F_31                                     F_25                                     50.36                NOT USED  
45       F_31                                     H_Milano_1_dest_5                        45.24                NOT USED  
46       F_31                                     HUB_2                                    21.41                NOT USED  
47       F_31                                     F_30                                     28.89                NOT USED  
48       F_31                                     F_39                                     50.30                NOT USED  
49       F_31                                     H_Milano_2_origin_4                      45.23                NOT USED  
50       F_31                                     F_23                                     50.36                NOT USED  
52       F_31                                     F_32                                     28.89                NOT USED  
53       F_31                                     H_Milano_3_dest_1                        48.65                NOT USED  
54       H_Bergamo_2_origin_8                     H_Bergamo_3_origin_3                     18.48                NOT USED  
55       H_Bergamo_2_origin_8                     F_31                                     41.54                NOT USED  
56       H_Bergamo_2_origin_8                     H_Bergamo_3_dest_9                       18.48                NOT USED  
57       H_Bergamo_2_origin_8                     H_Bergamo_3_dest_4                       18.48                NOT USED  
58       H_Bergamo_2_origin_8                     F_39                                     9.78                 NOT USED  
59       H_Bergamo_2_origin_8                     H_Bergamo_3_origin_2                     18.48                NOT USED  
60       H_Bergamo_2_origin_8                     F_38                                     21.03                NOT USED  
62       F_24                                     F_16                                     50.42                NOT USED  
63       F_24                                     F_31                                     41.22                NOT USED  
64       F_24                                     F_25                                     29.00                NOT USED  
65       F_24                                     H_Cremona_2_origin_1                     46.96                NOT USED  
66       F_24                                     HUB_2                                    30.90                NOT USED  
67       F_24                                     F_18                                     50.42                NOT USED  
69       F_24                                     F_17                                     41.22                NOT USED  
72       F_24                                     F_32                                     50.36                NOT USED  
73       F_25                                     F_19                                     50.42                NOT USED  
74       F_25                                     F_31                                     50.36                NOT USED  
75       F_25                                     F_24                                     29.00                NOT USED  
76       F_25                                     H_Cremona_2_origin_1                     17.96                NOT USED  
78       F_25                                     F_33                                     50.36                NOT USED  
79       F_25                                     F_26                                     29.00                NOT USED  
80       F_25                                     F_17                                     50.42                NOT USED  
81       F_25                                     H_Cremona_2_dest_7                       17.96                NOT USED  
82       F_25                                     F_32                                     41.22                NOT USED  
83       H_Parma_3_origin_6                       F_12                                     47.65                NOT USED  
84       H_Parma_3_origin_6                       H_Parma_2_dest_2                         34.21                NOT USED  
85       H_Parma_3_origin_6                       H_Parma_1_origin_5                       17.57                NOT USED  
87       H_Parma_3_origin_6                       F_13                                     28.59                NOT USED  
88       H_Parma_3_origin_6                       H_Parma_1_origin_10                      17.57                NOT USED  
89       H_Cremona_2_origin_1                     F_19                                     42.61                NOT USED  
91       H_Cremona_2_origin_1                     F_25                                     17.96                NOT USED  
92       H_Cremona_2_origin_1                     F_18                                     44.92                NOT USED  
93       H_Cremona_2_origin_1                     F_33                                     42.72                NOT USED  
94       H_Cremona_2_origin_1                     F_26                                     11.04                NOT USED  
95       H_Cremona_2_origin_1                     H_Cremona_2_dest_7                       0.00                 NOT USED  
96       H_Cremona_2_origin_1                     F_32                                     45.00                NOT USED  
98       HUB_2                                    H_Bergamo_3_origin_3                     78.08                NOT USED  
100      HUB_2                                    H_Bergamo_2_origin_8                     62.28                NOT USED  
101      HUB_2                                    F_24                                     30.90                NOT USED  
102      HUB_2                                    H_Milano_1_dest_5                        32.51                NOT USED  
103      HUB_2                                    H_Parma_3_origin_6                       176.78               NOT USED  
104      HUB_2                                    H_Cremona_2_origin_1                     68.03                NOT USED  
105      HUB_2                                    H_Parma_1_origin_5                       170.07               NOT USED  
106      HUB_2                                    F_30                                     19.71                NOT USED  
107      HUB_2                                    H_Pavia_8_origin_7                       55.74                NOT USED  
108      HUB_2                                    H_Bergamo_3_origin_2                     78.08                NOT USED  
109      HUB_2                                    H_Milano_2_origin_4                      29.86                NOT USED  
110      HUB_2                                    F_23                                     29.74                NOT USED  
111      HUB_2                                    F_32                                     46.89                NOT USED  
112      HUB_2                                    H_Parma_1_origin_10                      170.07               NOT USED  
