NODES: 25
ARCS: 319

NODE
Idn                                      name                           x               y               Type           
48       H_6_origin_1                             H_10_origin_3                            16.53                NOT USED  
49       H_6_origin_1                             H_7_dest_3                               10.91                NOT USED  
50       H_6_origin_1                             H_3_dest_9                               9.31                 NOT USED  
51       H_6_origin_1                             H_6_origin_8                             0.00                 NOT USED  
52       H_6_origin_1                             H_16_dest_2                              29.10                NOT USED  
54       H_6_origin_1                             H_9_dest_5                               4.85                 NOT USED  
55       H_6_origin_1                             H_13_origin_7                            19.71                NOT USED  
56       H_6_origin_1                             H_9_dest_4                               4.85                 NOT USED  
57       H_6_origin_1                             H_16_origin_6                            29.10                NOT USED  
58       H_6_origin_1                             H_6_origin_9                             0.00                 NOT USED  
59       H_6_origin_1                             HUB_3                                    18.67                NOT USED  
60       H_6_origin_1                             HUB_1                                    8.71                 NOT USED  
61       H_6_origin_1                             H_8_dest_10                              8.64                 NOT USED  
62       H_6_origin_1                             H_17_origin_2                            25.83                NOT USED  
63       H_6_origin_1                             F_18                                     10.23                NOT USED  
64       H_6_origin_1                             H_15_origin_4                            26.40                NOT USED  
65       H_6_origin_1                             H_1_dest_7                               18.30                NOT USED  
66       H_6_origin_1                             F_26                                     18.62                NOT USED  
67       H_6_origin_1                             H_3_origin_5                             9.31                 NOT USED  
68       H_6_origin_1                             H_8_dest_6                               8.64                 NOT USED  
69       H_6_origin_1                             H_2_origin_10                            29.18                NOT USED  
70       H_6_origin_1                             F_33                                     29.69                NOT USED  
71       H_13_origin_7                            H_10_origin_3                            29.64                NOT USED  
72       H_13_origin_7                            H_7_dest_3                               28.51                NOT USED  
73       H_13_origin_7                            H_3_dest_9                               26.60                NOT USED  
74       H_13_origin_7                            H_6_origin_8                             19.71                NOT USED  
75       H_13_origin_7                            H_6_origin_1                             19.71                NOT USED  
76       H_13_origin_7                            H_10_dest_1                              29.64                NOT USED  
77       H_13_origin_7                            H_9_dest_5                               24.48                NOT USED  
78       H_13_origin_7                            H_9_dest_4                               24.48                NOT USED  
79       H_13_origin_7                            H_6_origin_9                             19.71                NOT USED  
80       H_13_origin_7                            HUB_3                                    27.76                NOT USED  
81       H_13_origin_7                            HUB_1                                    28.39                NOT USED  
82       H_13_origin_7                            H_8_dest_10                              19.27                NOT USED  
83       H_13_origin_7                            H_17_origin_2                            26.47                NOT USED  
85       H_13_origin_7                            H_3_origin_5                             26.60                NOT USED  
86       H_13_origin_7                            H_8_dest_6                               19.27                NOT USED  
87       H_16_origin_6                            H_10_origin_3                            23.02                NOT USED  
88       H_16_origin_6                            H_7_dest_3                               26.06                NOT USED  
89       H_16_origin_6                            H_3_dest_9                               21.80                NOT USED  
90       H_16_origin_6                            H_6_origin_8                             29.10                NOT USED  
91       H_16_origin_6                            H_16_dest_2                              0.00                 NOT USED  
92       H_16_origin_6                            H_6_origin_1                             29.10                NOT USED  
93       H_16_origin_6                            H_10_dest_1                              23.02                NOT USED  
94       H_16_origin_6                            H_9_dest_5                               24.29                NOT USED  
95       H_16_origin_6                            H_9_dest_4                               24.29                NOT USED  
96       H_16_origin_6                            H_6_origin_9                             29.10                NOT USED  
97       H_16_origin_6                            HUB_3                                    28.38                NOT USED  
98       H_16_origin_6                            HUB_1                                    21.37                NOT USED  
100      H_16_origin_6                            H_15_origin_4                            15.39                NOT USED  
101      H_16_origin_6                            H_1_dest_7                               13.24                NOT USED  
102      H_16_origin_6                            F_26                                     19.24                NOT USED  
103      H_16_origin_6                            H_3_origin_5                             21.80                NOT USED  
104      H_16_origin_6                            H_22_dest_8                              19.76                NOT USED  
105      H_16_origin_6                            H_2_origin_10                            0.09                 NOT USED  
106      H_16_origin_6                            F_33                                     18.26                NOT USED  
107      H_6_origin_9                             H_10_origin_3                            16.53                NOT USED  
108      H_6_origin_9                             H_7_dest_3                               10.91                NOT USED  
110      H_6_origin_9                             H_6_origin_8                             0.00                 NOT USED  
111      H_6_origin_9                             H_16_dest_2                              29.10                NOT USED  
112      H_6_origin_9                             H_6_origin_1                             0.00                 NOT USED  
113      H_6_origin_9                             H_10_dest_1                              16.53                NOT USED  
114      H_6_origin_9                             H_9_dest_5                               4.85                 NOT USED  
115      H_6_origin_9                             H_13_origin_7                            19.71                NOT USED  
116      H_6_origin_9                             H_9_dest_4                               4.85                 NOT USED  
117      H_6_origin_9                             H_16_origin_6                            29.10                NOT USED  
118      H_6_origin_9                             HUB_3                                    18.67                NOT USED  
119      H_6_origin_9                             HUB_1                                    8.71                 NOT USED  
120      H_6_origin_9                             H_8_dest_10                              8.64                 NOT USED  
121      H_6_origin_9                             H_17_origin_2                            25.83                NOT USED  
122      H_6_origin_9                             F_18                                     10.23                NOT USED  
123      H_6_origin_9                             H_15_origin_4                            26.40                NOT USED  
124      H_6_origin_9                             H_1_dest_7                               18.30                NOT USED  
125      H_6_origin_9                             F_26                                     18.62                NOT USED  
126      H_6_origin_9                             H_3_origin_5                             9.31                 NOT USED  
127      H_6_origin_9                             H_8_dest_6                               8.64                 NOT USED  
128      H_6_origin_9                             H_2_origin_10                            29.18                NOT USED  
129      H_6_origin_9                             F_33                                     29.69                NOT USED  
131      HUB_3                                    H_7_dest_3                               27.22                NOT USED  
132      HUB_3                                    H_3_dest_9                               12.51                NOT USED  
133      HUB_3                                    H_6_origin_8                             18.67                NOT USED  
