NODES: 72
ARCS: 1777

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          41.885827       12.479255       HUB            
HUB_3                                    Hub 3                          41.744050       12.316250       HUB            
H_11_origin_13                           Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_13_origin_16                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_13_origin_27                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_14_origin_11                           Ospedale Grassi - Ostia        41.732800       12.277800       H_ORIGIN       
H_14_origin_5                            Ospedale Grassi - Ostia        41.732800       12.277800       H_ORIGIN       
H_16_origin_10                           Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_16_origin_18                           Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_16_origin_20                           Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_16_origin_21                           Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_16_origin_28                           Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_17_origin_1                            Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_17_origin_30                           Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_19_origin_19                           Poliambulatorio Ciampino       41.800300       12.604400       H_ORIGIN       
H_19_origin_26                           Poliambulatorio Ciampino       41.800300       12.604400       H_ORIGIN       
H_1_origin_12                            Policlinico Umberto I          41.905400       12.510900       H_ORIGIN       
H_1_origin_25                            Policlinico Umberto I          41.905400       12.510900       H_ORIGIN       
H_2_origin_17                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_24                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_7                             Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_3_origin_23                            Ospedale San Camillo           41.869700       12.465400       H_ORIGIN       
H_3_origin_4                             Ospedale San Camillo           41.869700       12.465400       H_ORIGIN       
H_4_origin_14                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_4_origin_22                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_4_origin_29                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_5_origin_3                             Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_6_origin_9                             Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_8_origin_2                             Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_8_origin_6                             Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_8_origin_8                             Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_9_origin_15                            Tiberia Hospital               41.953300       12.559100       H_ORIGIN       
H_10_dest_15                             Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_10_dest_2                              Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_10_dest_25                             Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
