NODES: 94
ARCS: 3157

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          41.885827       12.479255       HUB            
HUB_2                                    Hub 2                          41.823184       12.630799       HUB            
H_10_origin_11                           Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_10_origin_23                           Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_10_origin_36                           Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_11_origin_20                           Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_11_origin_30                           Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_12_origin_15                           Policlinico Casilino           41.875800       12.575800       H_ORIGIN       
H_12_origin_32                           Policlinico Casilino           41.875800       12.575800       H_ORIGIN       
H_12_origin_33                           Policlinico Casilino           41.875800       12.575800       H_ORIGIN       
H_12_origin_5                            Policlinico Casilino           41.875800       12.575800       H_ORIGIN       
H_12_origin_8                            Policlinico Casilino           41.875800       12.575800       H_ORIGIN       
H_13_origin_16                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_13_origin_9                            Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_14_origin_40                           Ospedale Grassi - Ostia        41.732800       12.277800       H_ORIGIN       
H_16_origin_25                           Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_17_origin_12                           Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_17_origin_29                           Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_18_origin_10                           Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_18_origin_18                           Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_18_origin_22                           Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_19_origin_35                           Poliambulatorio Ciampino       41.800300       12.604400       H_ORIGIN       
H_1_origin_1                             Policlinico Umberto I          41.905400       12.510900       H_ORIGIN       
H_1_origin_21                            Policlinico Umberto I          41.905400       12.510900       H_ORIGIN       
H_1_origin_37                            Policlinico Umberto I          41.905400       12.510900       H_ORIGIN       
H_2_origin_14                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_19                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_31                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_4_origin_17                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_4_origin_38                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_5_origin_13                            Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_5_origin_28                            Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_5_origin_34                            Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_5_origin_6                             Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_6_origin_24                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_39                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_7_origin_26                            Ospedale Sant'Eugenio          41.831700       12.490800       H_ORIGIN       
H_7_origin_3                             Ospedale Sant'Eugenio          41.831700       12.490800       H_ORIGIN       
H_9_origin_2                             Tiberia Hospital               41.953300       12.559100       H_ORIGIN       
H_9_origin_27                            Tiberia Hospital               41.953300       12.559100       H_ORIGIN       
H_9_origin_4                             Tiberia Hospital               41.953300       12.559100       H_ORIGIN       
H_9_origin_7                             Tiberia Hospital               41.953300       12.559100       H_ORIGIN       
H_10_dest_3                              Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_10_dest_31                             Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_10_dest_40                             Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_11_dest_11                             Policlinico Tor Vergata        41.860619       12.631796       H_DESTINATION  
H_11_dest_25                             Policlinico Tor Vergata        41.860619       12.631796       H_DESTINATION  
H_12_dest_16                             Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_20                             Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_26                             Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_35                             Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_37                             Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_13_dest_17                             Campus Bio-Medico              41.776700       12.469400       H_DESTINATION  
H_13_dest_2                              Campus Bio-Medico              41.776700       12.469400       H_DESTINATION  
H_13_dest_29                             Campus Bio-Medico              41.776700       12.469400       H_DESTINATION  
H_14_dest_10                             Ospedale Grassi - Ostia        41.732800       12.277800       H_DESTINATION  
H_14_dest_8                              Ospedale Grassi - Ostia        41.732800       12.277800       H_DESTINATION  
H_16_dest_27                             Poliambulatorio Acilia         41.755300       12.354700       H_DESTINATION  
H_16_dest_30                             Poliambulatorio Acilia         41.755300       12.354700       H_DESTINATION  
H_16_dest_33                             Poliambulatorio Acilia         41.755300       12.354700       H_DESTINATION  
H_16_dest_36                             Poliambulatorio Acilia         41.755300       12.354700       H_DESTINATION  
H_17_dest_21                             Ospedale San Sebastiano Frascati 41.808900       12.680600       H_DESTINATION  
H_17_dest_23                             Ospedale San Sebastiano Frascati 41.808900       12.680600       H_DESTINATION  
H_18_dest_9                              Ospedale di Marino             41.770300       12.661400       H_DESTINATION  
H_2_dest_15                              Policlinico Gemelli            41.931900       12.427900       H_DESTINATION  
H_2_dest_5                               Policlinico Gemelli            41.931900       12.427900       H_DESTINATION  
H_2_dest_6                               Policlinico Gemelli            41.931900       12.427900       H_DESTINATION  
H_2_dest_7                               Policlinico Gemelli            41.931900       12.427900       H_DESTINATION  
H_3_dest_1                               Ospedale San Camillo           41.869700       12.465400       H_DESTINATION  
H_3_dest_14                              Ospedale San Camillo           41.869700       12.465400       H_DESTINATION  
H_3_dest_18                              Ospedale San Camillo           41.869700       12.465400       H_DESTINATION  
H_3_dest_24                              Ospedale San Camillo           41.869700       12.465400       H_DESTINATION  
H_3_dest_32                              Ospedale San Camillo           41.869700       12.465400       H_DESTINATION  
H_4_dest_12                              Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_22                              Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_28                              Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_4                               Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_6_dest_34                              Ospedale Pertini               41.918900       12.556100       H_DESTINATION  
H_7_dest_19                              Ospedale Sant'Eugenio          41.831700       12.490800       H_DESTINATION  
H_8_dest_13                              Istituto Regina Elena IFO      41.825600       12.425300       H_DESTINATION  
H_8_dest_38                              Istituto Regina Elena IFO      41.825600       12.425300       H_DESTINATION  
H_9_dest_39                              Tiberia Hospital               41.953300       12.559100       H_DESTINATION  
F_11                                     Facility 11                    41.778476       12.532713       FACILITY       
