NODES: 26
ARCS: 239

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          41.885827       12.479255       HUB            
HUB_3                                    Hub 3                          41.744050       12.316250       HUB            
H_10_origin_2                            Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_11_origin_5                            Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_13_origin_10                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_14_origin_1                            Ospedale Grassi - Ostia        41.732800       12.277800       H_ORIGIN       
H_16_origin_9                            Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_1_origin_3                             Policlinico Umberto I          41.905400       12.510900       H_ORIGIN       
H_4_origin_6                             Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_6_origin_4                             Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_7                             Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_8_origin_8                             Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_10_dest_8                              Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_12_dest_9                              Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_18_dest_1                              Ospedale di Marino             41.770300       12.661400       H_DESTINATION  
H_18_dest_2                              Ospedale di Marino             41.770300       12.661400       H_DESTINATION  
H_19_dest_5                              Poliambulatorio Ciampino       41.800300       12.604400       H_DESTINATION  
H_1_dest_6                               Policlinico Umberto I          41.905400       12.510900       H_DESTINATION  
H_2_dest_10                              Policlinico Gemelli            41.931900       12.427900       H_DESTINATION  
H_4_dest_3                               Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_7                               Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_7_dest_4                               Ospedale Sant'Eugenio          41.831700       12.490800       H_DESTINATION  
F_17                                     Facility 17                    41.828926       12.464929       FACILITY       
F_18                                     Facility 18                    41.828926       12.532713       FACILITY       
F_2                                      Facility 2                     41.728025       12.397144       FACILITY       
F_4                                      Facility 4                     41.728025       12.532713       FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
2        H_13_origin_10                           F_17                                     11.64                USED      
27       H_6_origin_4                             H_7_dest_4                               22.20                USED      
38       F_17                                     H_12_dest_9                              21.12                USED      
54       F_17                                     H_2_dest_10                              23.71                USED      
76       F_18                                     H_18_dest_2                              25.00                USED      
89       H_11_origin_5                            H_19_dest_5                              14.16                USED      
101      H_4_origin_6                             H_1_dest_6                               6.39                 USED      
118      H_1_origin_3                             H_4_dest_3                               6.39                 USED      
130      F_4                                      H_18_dest_1                              23.33                USED      
138      HUB_1                                    H_13_origin_10                           24.32                USED      
149      HUB_1                                    H_1_origin_3                             6.81                 USED      
153      HUB_1                                    H_8_origin_8                             16.10                USED      
156      HUB_1                                    H_10_origin_2                            13.53                USED      
165      HUB_3                                    H_14_origin_1                            6.85                 USED      
