NODES: 45
ARCS: 794

NODE
Idn                                      name                           x               y               Type           
9        H_11_origin_4                            H_18_dest_17                             20.68                NOT USED  
10       H_11_origin_4                            H_4_origin_11                            26.43                NOT USED  
11       H_11_origin_4                            H_7_origin_18                            24.23                NOT USED  
12       H_11_origin_4                            H_17_dest_19                             14.06                NOT USED  
14       H_11_origin_4                            H_4_dest_18                              26.43                NOT USED  
15       H_11_origin_4                            H_11_origin_7                            0.00                 NOT USED  
16       H_11_origin_4                            H_7_dest_15                              24.23                NOT USED  
17       H_11_origin_4                            H_12_dest_8                              9.87                 NOT USED  
18       H_11_origin_4                            H_12_dest_12                             9.87                 NOT USED  
19       H_11_origin_4                            H_6_dest_13                              18.03                NOT USED  
20       H_11_origin_4                            H_12_dest_6                              9.87                 NOT USED  
21       H_11_origin_4                            H_3_origin_3                             27.63                NOT USED  
22       H_11_origin_4                            HUB_1                                    25.88                NOT USED  
23       H_11_origin_4                            H_19_dest_5                              14.16                NOT USED  
24       H_11_origin_4                            H_4_dest_7                               26.43                NOT USED  
25       H_11_origin_4                            H_12_dest_2                              9.87                 NOT USED  
26       H_11_origin_4                            H_6_origin_15                            18.03                NOT USED  
27       H_11_origin_4                            H_9_origin_16                            23.87                NOT USED  
28       H_11_origin_4                            H_12_dest_10                             9.87                 NOT USED  
29       H_11_origin_4                            H_11_origin_20                           0.00                 NOT USED  
30       H_11_origin_4                            H_6_origin_14                            18.03                NOT USED  
31       H_11_origin_4                            HUB_2                                    8.33                 NOT USED  
32       H_11_origin_4                            H_18_origin_9                            20.68                NOT USED  
33       H_11_origin_4                            H_7_origin_8                             24.23                NOT USED  
34       H_17_origin_1                            H_11_origin_4                            14.06                NOT USED  
36       H_17_origin_1                            F_26                                     20.54                NOT USED  
37       H_17_origin_1                            F_18                                     24.91                NOT USED  
38       H_17_origin_1                            H_11_origin_5                            14.06                NOT USED  
39       H_17_origin_1                            H_18_dest_17                             9.16                 NOT USED  
40       H_17_origin_1                            H_17_dest_19                             0.00                 NOT USED  
41       H_17_origin_1                            H_12_dest_4                              22.87                NOT USED  
42       H_17_origin_1                            H_11_origin_7                            14.06                NOT USED  
43       H_17_origin_1                            H_12_dest_8                              22.87                NOT USED  
44       H_17_origin_1                            H_12_dest_12                             22.87                NOT USED  
45       H_17_origin_1                            H_12_dest_6                              22.87                NOT USED  
46       H_17_origin_1                            H_19_dest_5                              12.78                NOT USED  
47       H_17_origin_1                            H_12_dest_2                              22.87                NOT USED  
48       H_17_origin_1                            H_12_dest_10                             22.87                NOT USED  
49       H_17_origin_1                            H_11_origin_20                           14.06                NOT USED  
50       H_17_origin_1                            HUB_2                                    8.84                 NOT USED  
51       H_17_origin_1                            H_18_origin_9                            9.16                 NOT USED  
52       F_26                                     H_3_dest_11                              22.47                NOT USED  
53       F_26                                     H_11_origin_4                            6.65                 NOT USED  
54       F_26                                     H_17_origin_1                            20.54                NOT USED  
55       F_26                                     H_18_dest_1                              26.27                NOT USED  
56       F_26                                     F_17                                     25.10                NOT USED  
57       F_26                                     H_5_dest_16                              24.06                NOT USED  
58       F_26                                     F_18                                     15.87                NOT USED  
59       F_26                                     H_11_origin_5                            6.65                 NOT USED  
61       F_26                                     H_18_dest_17                             26.27                NOT USED  
62       F_26                                     H_4_origin_11                            20.53                NOT USED  
63       F_26                                     H_5_origin_6                             24.06                NOT USED  
64       F_26                                     H_7_origin_18                            21.04                NOT USED  
65       F_26                                     H_17_dest_19                             20.54                NOT USED  
66       F_26                                     H_12_dest_4                              4.17                 NOT USED  
67       F_26                                     H_4_dest_18                              20.53                NOT USED  
68       F_26                                     H_11_origin_7                            6.65                 NOT USED  
69       F_26                                     H_7_dest_15                              21.04                NOT USED  
70       F_26                                     H_12_dest_8                              4.17                 NOT USED  
71       F_26                                     H_12_dest_12                             4.17                 NOT USED  
72       F_26                                     H_6_dest_13                              11.46                NOT USED  
73       F_26                                     H_12_dest_6                              4.17                 NOT USED  
74       F_26                                     H_3_origin_3                             22.47                NOT USED  
75       F_26                                     HUB_1                                    20.13                NOT USED  
76       F_26                                     H_19_dest_5                              17.60                NOT USED  
77       F_26                                     H_4_dest_7                               20.53                NOT USED  
78       F_26                                     H_12_dest_2                              4.17                 NOT USED  
79       F_26                                     H_6_origin_15                            11.46                NOT USED  
80       F_26                                     H_9_origin_16                            17.81                NOT USED  
81       F_26                                     H_12_dest_10                             4.17                 NOT USED  
82       F_26                                     H_11_origin_20                           6.65                 NOT USED  
83       F_26                                     H_6_origin_14                            11.46                NOT USED  
84       F_26                                     HUB_2                                    13.47                NOT USED  
85       F_26                                     H_18_origin_9                            26.27                NOT USED  
86       F_26                                     H_7_origin_8                             21.04                NOT USED  
87       F_17                                     H_3_dest_11                              9.07                 NOT USED  
88       F_17                                     H_11_origin_4                            28.53                NOT USED  
89       F_17                                     H_8_dest_3                               6.61                 NOT USED  
90       F_17                                     F_26                                     25.10                NOT USED  
91       F_17                                     H_13_origin_2                            11.64                NOT USED  
92       F_17                                     H_5_dest_16                              27.55                NOT USED  
93       F_17                                     F_18                                     11.23                NOT USED  
94       F_17                                     H_8_dest_14                              6.61                 NOT USED  
95       F_17                                     H_11_origin_5                            28.53                NOT USED  
96       F_17                                     H_6_dest_9                               25.07                NOT USED  
97       F_17                                     H_4_origin_11                            13.96                NOT USED  
98       F_17                                     H_5_origin_6                             27.55                NOT USED  
99       F_17                                     H_7_origin_18                            4.33                 NOT USED  
100      F_17                                     H_12_dest_4                              21.12                NOT USED  
