NODES: 52
ARCS: 964

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          41.885827       12.479255       HUB            
HUB_2                                    Hub 2                          41.823184       12.630799       HUB            
H_10_origin_17                           Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_11_origin_10                           Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_11_origin_20                           Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_13_origin_15                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_14_origin_9                            Ospedale Grassi - Ostia        41.732800       12.277800       H_ORIGIN       
H_18_origin_13                           Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_18_origin_19                           Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_18_origin_7                            Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_19_origin_11                           Poliambulatorio Ciampino       41.800300       12.604400       H_ORIGIN       
H_1_origin_16                            Policlinico Umberto I          41.905400       12.510900       H_ORIGIN       
H_2_origin_1                             Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_4                             Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_4_origin_8                             Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_5_origin_12                            Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_6_origin_14                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_2                             Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_7_origin_3                             Ospedale Sant'Eugenio          41.831700       12.490800       H_ORIGIN       
H_8_origin_5                             Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_8_origin_6                             Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_9_origin_18                            Tiberia Hospital               41.953300       12.559100       H_ORIGIN       
H_10_dest_1                              Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_10_dest_4                              Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_11_dest_14                             Policlinico Tor Vergata        41.860619       12.631796       H_DESTINATION  
H_11_dest_8                              Policlinico Tor Vergata        41.860619       12.631796       H_DESTINATION  
H_14_dest_11                             Ospedale Grassi - Ostia        41.732800       12.277800       H_DESTINATION  
H_14_dest_16                             Ospedale Grassi - Ostia        41.732800       12.277800       H_DESTINATION  
H_14_dest_18                             Ospedale Grassi - Ostia        41.732800       12.277800       H_DESTINATION  
H_16_dest_15                             Poliambulatorio Acilia         41.755300       12.354700       H_DESTINATION  
H_16_dest_17                             Poliambulatorio Acilia         41.755300       12.354700       H_DESTINATION  
H_16_dest_2                              Poliambulatorio Acilia         41.755300       12.354700       H_DESTINATION  
H_17_dest_10                             Ospedale San Sebastiano Frascati 41.808900       12.680600       H_DESTINATION  
H_17_dest_3                              Ospedale San Sebastiano Frascati 41.808900       12.680600       H_DESTINATION  
H_18_dest_5                              Ospedale di Marino             41.770300       12.661400       H_DESTINATION  
H_3_dest_20                              Ospedale San Camillo           41.869700       12.465400       H_DESTINATION  
H_4_dest_12                              Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_13                              Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_6                               Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_7                               Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_7_dest_19                              Ospedale Sant'Eugenio          41.831700       12.490800       H_DESTINATION  
H_7_dest_9                               Ospedale Sant'Eugenio          41.831700       12.490800       H_DESTINATION  
F_10                                     Facility 10                    41.778476       12.464929       FACILITY       
F_11                                     Facility 11                    41.778476       12.532713       FACILITY       
F_12                                     Facility 12                    41.778476       12.600497       FACILITY       
F_16                                     Facility 16                    41.828926       12.397144       FACILITY       
F_17                                     Facility 17                    41.828926       12.464929       FACILITY       
F_18                                     Facility 18                    41.828926       12.532713       FACILITY       
F_19                                     Facility 19                    41.828926       12.600497       FACILITY       
F_23                                     Facility 23                    41.879377       12.397144       FACILITY       
F_24                                     Facility 24                    41.879377       12.464929       FACILITY       
F_9                                      Facility 9                     41.778476       12.397144       FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
4        F_16                                     H_14_dest_16                             29.13                USED      
19       F_16                                     H_14_origin_9                            29.13                USED      
29       F_16                                     H_14_dest_18                             29.13                USED      
39       H_7_origin_3                             F_18                                     6.97                 USED      
88       F_17                                     H_16_dest_2                              24.54                USED      
125      F_19                                     H_4_dest_13                              24.61                USED      
140      F_19                                     H_4_dest_7                               24.61                USED      
163      H_5_origin_12                            H_4_dest_12                              13.60                USED      
183      H_18_origin_19                           F_12                                     10.26                USED      
211      F_18                                     H_17_dest_3                              24.91                USED      
232      H_1_origin_16                            F_16                                     25.38                USED      
276      F_23                                     H_16_dest_17                             28.48                USED      
318      F_10                                     F_9                                      11.24                USED      
330      F_24                                     F_16                                     15.87                USED      
394      H_13_origin_15                           H_16_dest_15                             19.61                USED      
403      H_9_origin_18                            F_24                                     22.65                USED      
433      H_11_origin_10                           H_17_dest_10                             14.06                USED      
476      H_4_origin_8                             H_11_dest_8                              26.43                USED      
488      H_18_origin_13                           F_19                                     16.49                USED      
508      H_14_origin_9                            F_9                                      22.25                USED      
511      HUB_1                                    F_16                                     18.58                USED      
516      HUB_1                                    H_5_origin_12                            14.69                USED      
519      HUB_1                                    H_1_origin_16                            6.81                 USED      
524      HUB_1                                    H_9_origin_18                            19.99                USED      
540      HUB_1                                    H_10_origin_17                           13.53                USED      
542      HUB_1                                    H_6_origin_2                             14.69                USED      
561      F_9                                      H_14_dest_11                             22.25                USED      
567      F_9                                      H_7_dest_9                               19.52                USED      
605      H_2_origin_4                             H_10_dest_4                              10.84                USED      
629      F_11                                     H_18_dest_5                              21.42                USED      
652      H_10_origin_17                           F_23                                     2.07                 USED      
674      F_12                                     H_7_dest_19                              21.70                USED      
696      H_6_origin_2                             F_17                                     25.07                USED      
726      H_18_origin_7                            F_19                                     16.49                USED      
759      H_2_origin_1                             H_10_dest_1                              10.84                USED      
774      H_19_origin_11                           F_10                                     23.63                USED      
821      H_8_origin_5                             F_11                                     20.66                USED      
848      H_8_origin_6                             H_4_dest_6                               16.92                USED      
874      H_11_origin_20                           H_3_dest_20                              27.63                USED      
911      H_6_origin_14                            H_11_dest_14                             18.03                USED      
931      HUB_2                                    H_18_origin_19                           12.81                USED      
938      HUB_2                                    H_11_origin_10                           8.33                 USED      
943      HUB_2                                    H_18_origin_13                           12.81                USED      
960      HUB_2                                    H_19_origin_11                           6.71                 USED      
963      HUB_2                                    H_11_origin_20                           8.33                 USED      
1        F_16                                     H_7_origin_3                             15.53                NOT USED  
2        F_16                                     H_7_dest_19                              15.53                NOT USED  
3        F_16                                     F_17                                     11.23                NOT USED  
5        F_16                                     F_18                                     22.47                NOT USED  
6        F_16                                     H_1_origin_16                            25.38                NOT USED  
